iter	Passed	Remaining
0	2	1470
1	5	1345
2	6	1102
3	9	1122
4	11	1150
5	13	1078
6	15	1085
7	17	1053
8	18	1004
9	20	1024
10	23	1036
11	25	1044
12	28	1060
13	29	1020
14	30	985
15	32	993
16	33	963
17	35	941
18	37	952
19	40	963
20	42	970
21	45	978
22	46	961
23	48	966
24	51	975
25	54	989
26	57	999
27	59	1001
28	62	1009
29	63	1000
30	65	983
31	68	1005
32	70	997
33	72	999
34	75	1000
35	77	1005
36	80	1008
37	83	1013
38	85	1015
39	88	1015
40	90	1014
41	93	1015
42	95	1017
43	98	1020
44	101	1021
45	103	1024
46	106	1024
47	107	1015
48	110	1017
49	113	1021
50	116	1023
51	118	1024
52	121	1022
53	123	1020
54	126	1021
55	129	1023
56	131	1023
57	134	1022
58	136	1020
59	138	1018
60	141	1017
61	144	1018
62	146	1016
63	148	1014
64	151	1013
65	153	1011
66	156	1009
67	158	1009
68	161	1007
69	163	1005
70	166	1003
71	168	1002
72	171	1000
73	173	999
74	176	998
75	178	998
76	181	996
77	183	994
78	186	992
79	188	990
80	191	990
81	193	987
82	196	985
83	198	983
84	200	981
85	203	979
86	206	978
87	208	976
88	210	974
89	213	972
90	215	969
91	218	966
92	220	965
93	223	963
94	225	961
95	228	959
96	230	957
97	232	955
98	235	953
99	237	950
100	240	949
101	242	947
102	245	944
103	247	942
104	249	939
105	252	937
106	254	935
107	257	933
108	259	931
109	262	928
110	264	927
111	267	925
112	269	922
113	272	921
114	274	919
115	277	917
116	280	919
117	283	917
118	286	916
119	288	914
120	291	912
121	293	909
122	296	908
123	299	906
124	301	905
125	304	904
126	307	903
127	310	901
128	312	899
129	315	898
130	318	896
131	320	894
132	323	892
133	326	891
134	329	889
135	331	887
136	334	886
137	337	885
138	340	883
139	343	882
140	345	880
141	348	878
142	350	875
143	353	873
144	356	871
145	358	869
146	361	867
147	363	864
148	366	863
149	369	861
150	371	859
151	374	856
152	376	854
153	379	851
154	381	849
155	383	846
156	388	848
157	391	848
158	394	845
159	396	843
160	399	840
161	402	839
162	404	836
163	407	834
164	409	831
165	412	829
166	414	826
167	417	824
168	420	822
169	422	820
170	425	817
171	427	815
172	430	812
173	432	810
174	435	808
175	437	805
176	440	803
177	442	800
178	444	797
179	447	795
180	450	793
181	452	790
182	454	788
183	457	785
184	459	782
185	462	780
186	464	778
187	467	775
188	469	773
189	472	770
190	474	768
191	477	766
192	479	763
193	482	761
194	485	758
195	487	756
196	489	753
197	492	751
198	495	749
199	498	747
200	500	744
201	503	742
202	505	739
203	508	738
204	511	735
205	513	733
206	516	731
207	518	728
208	521	725
209	524	723
210	526	721
211	528	718
212	531	716
213	534	713
214	536	711
215	539	708
216	541	706
217	543	703
218	546	701
219	548	698
220	551	695
221	553	693
222	556	690
223	558	688
224	561	685
225	563	683
226	566	680
227	568	678
228	570	675
229	573	672
230	575	670
231	578	667
232	580	665
233	583	662
234	585	660
235	587	657
236	590	655
237	592	652
238	595	650
239	598	647
240	600	645
241	602	642
242	605	640
243	607	637
244	610	635
245	612	632
246	615	630
247	617	627
248	620	625
249	622	622
250	625	620
251	627	617
252	630	615
253	632	612
254	634	609
255	637	607
256	639	604
257	641	602
258	644	599
259	647	597
260	649	594
261	651	592
262	654	589
263	656	587
264	659	584
265	661	582
266	664	579
267	666	577
268	669	574
269	671	572
270	674	570
271	677	568
272	680	565
273	684	564
274	687	562
275	691	561
276	694	559
277	697	557
278	700	554
279	714	561
280	718	559
281	721	557
282	724	555
283	727	553
284	729	550
285	732	548
286	735	545
287	738	543
288	741	541
289	743	538
290	746	536
291	749	533
292	752	531
293	755	529
294	758	526
295	760	524
296	763	521
297	766	519
298	768	516
299	771	514
300	774	511
301	777	509
302	780	507
303	782	504
304	784	501
305	787	499
306	790	496
307	792	494
308	794	491
309	797	488
310	799	486
311	802	483
312	804	480
313	807	478
314	810	475
315	812	473
316	815	470
317	817	467
318	820	465
319	822	462
320	825	460
321	827	457
322	830	454
323	832	452
324	835	449
325	837	447
326	840	444
327	842	441
328	844	439
329	847	436
330	849	433
331	852	431
332	854	428
333	857	426
334	859	423
335	862	420
336	864	418
337	867	415
338	870	413
339	873	410
340	875	408
341	877	405
342	880	402
343	882	400
344	885	397
345	887	395
346	890	392
347	892	389
348	895	387
349	899	385
350	902	382
351	904	380
352	907	377
353	910	375
354	913	373
355	916	370
356	919	368
357	921	365
358	924	362
359	926	360
360	929	357
361	931	355
362	934	352
363	937	350
364	939	347
365	942	345
366	945	342
367	948	340
368	951	337
369	953	335
370	956	332
371	959	330
372	962	327
373	965	325
374	968	322
375	970	320
376	973	317
377	976	315
378	979	312
379	982	310
380	985	307
381	988	305
382	990	302
383	993	300
384	996	297
385	999	295
386	1001	292
387	1004	289
388	1006	287
389	1009	284
390	1011	281
391	1014	279
392	1017	276
393	1019	274
394	1021	271
395	1024	268
396	1026	266
397	1029	263
398	1032	261
399	1034	258
400	1036	255
401	1039	253
402	1041	250
403	1044	248
404	1048	245
405	1050	243
406	1053	240
407	1055	238
408	1058	235
409	1060	232
410	1063	230
411	1066	227
412	1068	225
413	1070	222
414	1073	219
415	1076	217
416	1078	214
417	1081	212
418	1083	209
419	1086	206
420	1088	204
421	1091	201
422	1093	199
423	1096	196
424	1099	193
425	1101	191
426	1104	188
427	1107	186
428	1109	183
429	1112	181
430	1115	178
431	1117	175
432	1120	173
433	1122	170
434	1125	168
435	1128	165
436	1130	162
437	1132	160
438	1135	157
439	1137	155
440	1140	152
441	1142	149
442	1145	147
443	1147	144
444	1150	142
445	1152	139
446	1155	136
447	1157	134
448	1160	131
449	1162	129
450	1164	126
451	1167	123
452	1170	121
453	1172	118
454	1175	116
455	1178	113
456	1180	111
457	1182	108
458	1185	105
459	1187	103
460	1190	100
461	1192	98
462	1195	95
463	1197	92
464	1199	90
465	1202	87
466	1204	85
467	1207	82
468	1209	79
469	1212	77
470	1214	74
471	1217	72
472	1219	69
473	1221	67
474	1224	64
475	1227	61
